study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJDA74549	DRP000499	SAMD00015766	DRS001140	DRX001120	DRR001622	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(-), template 1		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	14461709	2198179768	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(-), template 1	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001120	DRR001622	1016339097;1037181807;	5710dc7e796b6d6da0915959af045d70;df0107fa5394c037a8814d41317a4aeb;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001622/DRR001622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001622/DRR001622_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001622/DRR001622_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001622/DRR001622_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001622/DRR001622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001622/DRR001622_2.fastq.gz;							1483998056	0a0e23898fcfee3994376f78bb474be9	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001622	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001622	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001622				SAMD00015766		Human ICESeq CE-		2012-06-08
PRJDA74549	DRP000499	SAMD00015767	DRS001141	DRX001121	DRR001623	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(+), template 1		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	9606235	1460147720	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(+), template 1	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001121	DRR001623	648695857;674686490;	7d60db721f1f0605f80c28f242aad570;570f06fd3744639493667ece233a5e92;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001623/DRR001623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001623/DRR001623_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001623/DRR001623_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001623/DRR001623_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001623/DRR001623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001623/DRR001623_2.fastq.gz;							963215356	09ce144046284e7410af0052bf8f62b6	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001623	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001623	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001623				SAMD00015767		Human ICESeq CE+		2012-06-08
PRJDA74549	DRP000499	SAMD00015768	DRS001142	DRX001122	DRR001624	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(++), template 1		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	14696189	2233820728	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(++), template 1	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001122	DRR001624	1000406564;1049312140;	fee864926a50546d77332bf2a155d7a5;84a4525f1b5881b5891cf86b46b9c78e;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001624/DRR001624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001624/DRR001624_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001624/DRR001624_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001624/DRR001624_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001624/DRR001624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001624/DRR001624_2.fastq.gz;							1484749043	aab71651dd2381dcd154afbf5976a48e	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001624	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001624	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001624				SAMD00015768		Human ICESeq CE++		2012-06-08
PRJDA74549	DRP000499	SAMD00015767	DRS001141	DRX001124	DRR001626	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(+), template 2		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	8982415	1365327080	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(+), template 2	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001124	DRR001626	614247493;621242002;	7df9f67c449cbbfd4032e554deeb913d;d575b21f14ed8f48b462b634e9a3f16e;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001626/DRR001626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001626/DRR001626_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001626/DRR001626_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001626/DRR001626_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001626/DRR001626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001626/DRR001626_2.fastq.gz;							899299877	c932bbb764286339dd940f40d81ff227	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001626	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001626	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001626				SAMD00015767		Human ICESeq CE+		2012-06-08
PRJDA74549	DRP000499	SAMD00015768	DRS001142	DRX001125	DRR001627	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(++), template 2		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	13139705	1997235160	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(++), template 2	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001125	DRR001627	912459130;930256789;	308fa13868227da70264c4666c52a559;a03c8ee1e41d5ab6dff8e9794520acaa;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001627/DRR001627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001627/DRR001627_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001627/DRR001627_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001627/DRR001627_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001627/DRR001627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001627/DRR001627_2.fastq.gz;							1334952604	010b311d317c766f356711b22ebb0899	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001627	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001627	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001627				SAMD00015768		Human ICESeq CE++		2012-06-08
PRJDA74549	DRP000499	SAMD00015768	DRS001142	DRX001128	DRR001630	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(++), template 3		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	58396177	8876218904	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(++), template 3	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001128	DRR001630	3705691386;3957692695;	9657cc6ecd95bdc333a19e18d7d9e08a;fa1c48cb272b2aec6affbf325f9a5ee7;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001630/DRR001630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001630/DRR001630_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001630/DRR001630_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001630/DRR001630_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001630/DRR001630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001630/DRR001630_2.fastq.gz;							5783286974	f82f9e4aac27351c3c1e63d769910591	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001630	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001630	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001630				SAMD00015768		Human ICESeq CE++		2012-06-08
PRJDA74549	DRP000499	SAMD00015766	DRS001140	DRX001126	DRR001631	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(-), template 3		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	51067105	7762199960	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(-), template 3	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001126	DRR001631	3487236726;3553251963;	5a890621f25a2daeffca313456b6494e;45e0ade436fa1215941bdc6b84df876d;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001631/DRR001631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001631/DRR001631_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001631/DRR001631_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001631/DRR001631_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001631/DRR001631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001631/DRR001631_2.fastq.gz;							5078299590	701e738d16f9c9bac1af8c79406f4458	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001631	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001631	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001631				SAMD00015766		Human ICESeq CE-		2012-06-08
PRJDA74549	DRP000499	SAMD00015767	DRS001141	DRX001127	DRR001632	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(+), template 3		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	79235506	12043796912	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(+), template 3	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001127	DRR001632	5341637654;5489124057;	851c4e0ffe03b1ba39c8eb30cd7a5145;f06bc321a9ea96a02f8526d202257190;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001632/DRR001632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001632/DRR001632_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001632/DRR001632_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001632/DRR001632_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001632/DRR001632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001632/DRR001632_2.fastq.gz;							7824478366	5131136495c8e41d9b1f07225055febf	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001632	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001632	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001632				SAMD00015767		Human ICESeq CE+		2012-06-08
PRJDA74549	DRP000499	SAMD00015768	DRS001142	DRX001128	DRR001633	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(++), template 3		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	43079647	6548106344	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(++), template 3	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001128	DRR001633	2929780663;2941108272;	03c2a47518e39fcb2db6d2d4a0234e2c;3fc59d9cf30759c314afbb56de1530ae;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001633/DRR001633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001633/DRR001633_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001633/DRR001633_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001633/DRR001633_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001633/DRR001633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001633/DRR001633_2.fastq.gz;							4299881997	47634a3504e27b84dcaa7dcd23c18ff7	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001633	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001633	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001633				SAMD00015768		Human ICESeq CE++		2012-06-08
PRJDA74549	DRP000499	SAMD00015766	DRS001140	DRX001126	DRR001634	DRA000478	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	Human ICESeq(-), template 3		PAIRED	RNA-Seq	TRANSCRIPTOMIC	RANDOM	49555368	7532415936	UT_ENG	2012-06-08	2017-08-11	Illumina Genome Analyzer IIx sequencing; Human ICESeq(-), template 3	Homo sapiens strain:Human ICESeq Genome sequencing	DRP000499	DRX001126	DRR001634	3437726136;3405206583;	0c4eb2694418273b7caa89bf8ad83ff7;cc4753c2cc0658a4335fe6f87f6f0844;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001634/DRR001634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001634/DRR001634_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001634/DRR001634_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR001/DRR001634/DRR001634_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001634/DRR001634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001634/DRR001634_2.fastq.gz;							4938499458	af77c63b7117dc214be70e1625c13ce4	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001634	fasp.sra.ebi.ac.uk:/vol1/drr/DRR001/DRR001634	ftp.sra.ebi.ac.uk/vol1/drr/DRR001/DRR001634				SAMD00015766		Human ICESeq CE-		2012-06-08
