a	b	c	d
83	97	98	57
4	63	82	47
22	57	76	38
96	6	69	93
48	39	62	99
47	98	89	97
26	48	19	60
96	97	36	60
25	23	10	54
75	45	36	99
7	31	18	59
28	76	48	93
56	96	70	57
45	32	37	55
75	82	90	12
69	55	57	22
24	71	15	89
4	24	76	94
4	37	78	9
49	87	93	85
69	41	22	95
53	55	9	18
9	65	59	42
4	41	83	17
21	45	26	1
57	90	12	2
59	54	78	82
12	83	29	19
87	43	94	31
7	70	46	36
91	31	94	76
47	75	61	68
3	71	1	92
87	12	67	55
82	73	25	69
84	31	39	73
98	19	89	96
6	23	20	49
68	86	39	32
33	91	19	61
69	92	18	21
69	90	84	57
76	73	79	89
71	68	65	98
48	44	20	30
53	44	21	50
83	64	55	14
100	92	56	73
30	34	47	4
27	2	70	96
80	23	3	9
30	20	83	100
71	56	4	65
90	10	63	29
60	35	100	6
50	11	24	27
11	46	38	100
84	56	62	43
13	82	73	67
93	14	66	94
62	49	82	39
87	85	25	54
18	89	1	21
90	47	2	35
59	42	88	83
20	18	80	18
66	30	17	90
83	45	73	73
6	42	86	7
18	14	97	81
16	87	96	40
90	29	75	51
48	10	23	79
36	10	75	84
42	5	6	43
22	82	98	47
50	65	13	83
2	41	16	41
46	69	92	25
23	55	85	11
7	93	20	93
47	31	63	25
97	76	15	17
47	41	63	33
5	2	5	92
17	37	17	30
45	38	72	21
11	20	85	51
54	26	66	90
58	53	53	7
45	30	93	51
53	81	62	17
59	24	65	72
75	27	95	5
79	54	72	18
64	27	33	47
37	46	99	40
87	99	53	82
99	80	67	14
38	3	79	92
49	21	91	30
82	18	80	85
11	96	22	43
56	50	17	65
27	79	2	39
62	59	93	25
39	12	45	46
91	36	87	83
59	86	15	73
87	63	50	12
28	59	75	27
24	52	20	15
79	41	94	14
51	26	9	99
93	77	36	30
22	49	74	68
20	4	96	14
51	88	11	46
60	96	30	78
57	45	4	88
59	80	29	41
93	17	13	56
83	9	9	67
65	100	49	16
48	93	89	82
91	95	24	29
59	44	84	91
40	40	58	39
65	74	84	93
53	100	73	87
16	32	46	5
92	35	17	19
73	94	21	49
28	46	99	58
91	80	50	23
12	14	65	73
61	75	11	38
8	82	95	43
7	51	77	37
32	83	96	9
10	88	16	47
54	85	41	22
38	70	36	74
93	6	40	54
68	32	42	53
86	64	47	23
34	75	75	88
85	74	49	37
100	96	80	81
68	85	66	12
40	20	44	98
52	80	96	61
46	31	99	52
4	22	62	46
70	37	98	95
28	94	33	71
52	11	11	76
94	95	49	99
30	76	24	26
73	51	96	25
48	55	52	67
59	36	54	37
90	50	51	83
23	40	4	51
3	82	32	25
90	40	85	52
23	65	41	9
88	25	28	82
35	86	14	17
62	35	87	53
82	90	22	84
28	65	20	30
10	68	32	78
74	98	40	14
58	25	74	100
100	28	35	19
42	26	9	85
72	94	58	9
75	17	59	80
34	25	43	98
5	61	84	10
41	65	19	73
30	15	42	90
85	71	6	12
58	59	66	86
66	17	75	51
1	9	88	65
49	73	53	77
36	90	60	96
53	67	100	88
43	32	33	35
24	61	53	52
3	36	18	50
22	17	46	27
94	12	6	51
60	28	71	36
77	77	65	44
65	72	56	59
64	15	76	39
82	91	9	83
2	71	12	23
17	27	55	9
53	5	29	24
6	52	98	67
93	93	95	44
84	16	28	73
86	51	13	98
62	58	79	91
11	40	42	18
1	95	9	58
25	26	40	38
8	100	53	42
72	45	60	89
21	77	1	79
46	33	77	89
15	54	46	66
34	84	11	84
37	90	49	5
57	73	57	54
40	59	71	83
61	87	58	18
86	57	60	15
97	80	23	38
25	56	38	86
21	70	66	56
80	64	13	100
27	39	91	49
6	62	72	76
24	2	66	94
53	78	52	29
59	33	71	36
38	41	59	29
1	24	66	73
92	61	45	60
93	37	93	16
2	29	50	85
11	9	41	53
93	86	2	92
46	42	26	68
53	56	34	78
69	26	3	7
50	55	15	90
34	86	28	20
40	54	37	63
44	53	42	8
31	56	55	25
85	30	1	56
53	48	57	71
85	41	57	79
95	36	46	20
31	39	48	37
16	14	58	55
17	96	76	56
93	51	54	38
93	23	61	23
59	75	63	29
16	1	77	16
11	38	81	17
9	46	96	74
63	31	21	30
32	25	59	27
53	68	29	98
34	51	18	65
83	50	67	94
17	85	63	17
98	11	24	31
91	37	55	21
5	52	2	83
10	41	16	40
29	21	54	42
38	68	67	38
25	58	24	93
48	57	51	35
78	34	55	82
87	14	5	63
94	69	16	58
81	15	42	47
71	26	47	26
38	2	43	38
74	6	40	33
41	6	63	54
88	49	100	56
4	88	85	29
29	13	39	1
60	61	28	29
83	94	49	11
83	84	21	4
51	89	33	22
65	60	2	11
51	21	13	34
29	73	33	67
7	42	90	26
50	43	22	43
37	95	17	56
64	83	99	65
11	34	69	60
18	79	72	93
17	95	7	1
8	12	84	92
85	38	98	96
13	12	24	85
64	42	89	6
58	93	74	53
88	26	56	36
60	55	54	87
88	36	64	1
82	24	33	56
55	35	48	12
34	45	15	83
37	22	29	27
76	55	23	9
69	92	15	99
39	12	36	51
7	5	50	9
88	97	35	91
7	43	36	40
11	72	15	6
3	38	91	3
9	57	22	35
68	93	71	99
43	82	89	75
91	31	23	52
60	2	34	79
100	66	5	76
38	38	1	75
34	50	92	50
93	67	43	81
83	80	19	52
23	4	72	1
69	74	82	16
93	57	4	35
89	98	6	60
46	1	75	81
4	78	95	92
70	98	29	1
93	60	100	75
50	34	15	56
12	98	1	99
77	42	32	36
28	36	36	1
99	13	84	77
27	7	4	53
65	82	92	49
62	16	42	49
71	21	97	84
37	50	47	39
52	35	43	97
92	41	54	63
29	35	84	50
87	91	77	77
95	68	92	30
21	69	58	15
97	21	39	71
33	67	44	26
22	43	73	32
31	5	73	55
45	60	69	52
50	10	32	95
37	47	74	95
96	74	77	97
25	34	19	65
88	90	26	93
77	3	20	78
77	96	78	69
88	42	82	43
37	13	1	98
43	5	4	83
96	76	33	95
21	57	25	45
15	82	51	74
48	40	10	75
11	2	65	85
5	98	27	28
59	23	78	9
47	57	70	25
17	40	19	13
46	100	74	62
75	46	75	81
80	40	46	68
40	80	5	7
98	69	79	49
23	49	48	36
78	44	19	9
87	10	23	23
93	46	8	79
87	99	68	97
25	59	56	41
3	50	30	9
19	90	24	11
28	1	93	85
9	2	77	74
62	58	2	49
4	29	44	5
77	11	32	86
47	23	59	16
73	23	71	15
96	2	52	75
70	64	91	41
77	19	18	61
41	58	80	74
13	82	79	46
11	20	87	39
23	64	9	95
81	39	59	21
55	3	23	10
14	72	62	17
80	40	76	28
8	50	93	11
18	75	75	43
35	29	82	7
1	35	50	9
94	49	10	73
2	94	44	95
92	79	98	95
81	84	5	28
39	17	90	72
20	97	75	16
97	39	46	70
7	14	7	26
26	84	74	41
